Cohort	Tissue	WT_NR	WT_R	MUT_NR	MUT_R	TotalCt	MutCt	CriteriaA	CriteriaB	CriteriaAB	Result						
Pleasance_Endometrial	Endometrial	3	0	0	0	3	0	FAIL	FAIL	FAIL	merge: Chow_Endometrial;Pleasance_Endometrial;Yang_Endometrial						
Yang_Endometrial	Endometrial	3	0	0	0	3	0	FAIL	FAIL	FAIL	merge: Chow_Endometrial;Pleasance_Endometrial;Yang_Endometrial						
Pleasance_ESCA	ESCA	1	0	0	0	1	0	FAIL	FAIL	FAIL	drop						
Kim_Gastric	Gastric	30	10	1	1	42	2	FAIL	PASS	PASS	merge: Kim_Gastric;Pleasance_Gastric;Yang_Gastric						merge: Miao-NG_Lung;Cristescu_Lung;Pleasance_Lung
Pleasance_Gastric	Gastric	2	0	0	0	2	0	FAIL	FAIL	FAIL	merge: Kim_Gastric;Pleasance_Gastric;Yang_Gastric						merge: Miao-NG_Lung;Cristescu_Lung;Pleasance_Lung
Yang_Gastric	Gastric	1	0	0	0	1	0	FAIL	FAIL	FAIL	merge: Kim_Gastric;Pleasance_Gastric;Yang_Gastric						merge: Miao-NG_Lung;Cristescu_Lung;Pleasance_Lung
Pleasance_GermCell	GermCell	1	0	0	0	1	0	FAIL	FAIL	FAIL	drop						
Cristescu_HNSC	HNSC	86	20	0	0	106	0	FAIL	FAIL	FAIL	drop						
Miao-NG_HNSC	HNSC	10	2	0	0	12	0	FAIL	FAIL	FAIL	drop						
Pleasance_HNSC	HNSC	2	0	0	0	2	0	FAIL	FAIL	FAIL	drop						
Yang_HNSC	HNSC	9	1	1	0	11	1	FAIL	FAIL	FAIL	drop						
Anagnostou-NC_Lung	Lung	45	35	0	4	84	4	PASS	FAIL	PASS	keep						
Frigola_Lung	Lung	26	12	2	3	43	5	PASS	PASS	PASS	keep						
Hellmann_Lung	Lung	41	19	3	5	68	8	PASS	PASS	PASS	keep						
Jung_Lung	Lung	40	13	4	1	58	5	PASS	PASS	PASS	keep						
Rizvi-JCO_Lung	Lung	150	68	8	1	227	9	PASS	PASS	PASS	keep						
Rizvi-Science_Lung	Lung	21	10	1	2	34	3	PASS	PASS	PASS	keep						
Shim_Lung	Lung	131	58	6	3	198	9	PASS	PASS	PASS	keep						
Cristescu_Lung	Lung	4	0	0	0	4	0	FAIL	FAIL	FAIL	merge: Miao-NG_Lung;Cristescu_Lung;Pleasance_Lung						
Miao-NG_Lung	Lung	20	6	2	1	29	3	PASS	PASS	PASS	merge: Miao-NG_Lung;Cristescu_Lung;Pleasance_Lung						
Pleasance_Lung	Lung	13	5	0	0	18	0	FAIL	FAIL	FAIL	merge: Miao-NG_Lung;Cristescu_Lung;Pleasance_Lung						
Pleasance_Lymphoma	Lymphoma	1	0	0	0	1	0	FAIL	FAIL	FAIL	drop						
Anagnostou-CRM_Melanoma	Melanoma	20	24	0	1	45	1	FAIL	FAIL	FAIL	merge: Yang_Melanoma;Anagnostou-CRM_Melanoma;Miao-NG_Melanoma;Pleasance_Melanoma;Nathanson_Melanoma;Roh_Melanoma						
Cristescu_Melanoma	Melanoma	49	37	2	1	89	3	PASS	PASS	PASS	keep						
Gao_Melanoma	Melanoma	9	3	3	1	16	4	PASS	PASS	PASS	keep						
Hugo_Melanoma	Melanoma	14	16	3	5	38	8	PASS	PASS	PASS	keep						
Liu_Melanoma	Melanoma	79	52	6	7	144	13	PASS	PASS	PASS	keep						
Miao-NG_Melanoma	Melanoma	7	5	2	0	14	2	FAIL	FAIL	FAIL	merge: Yang_Melanoma;Anagnostou-CRM_Melanoma;Miao-NG_Melanoma;Pleasance_Melanoma;Nathanson_Melanoma;Roh_Melanoma						
Nathanson_Melanoma	Melanoma	14	18	0	2	34	2	FAIL	FAIL	FAIL	merge: Yang_Melanoma;Anagnostou-CRM_Melanoma;Miao-NG_Melanoma;Pleasance_Melanoma;Nathanson_Melanoma;Roh_Melanoma						
Pleasance_Melanoma	Melanoma	5	1	0	0	6	0	FAIL	FAIL	FAIL	merge: Yang_Melanoma;Anagnostou-CRM_Melanoma;Miao-NG_Melanoma;Pleasance_Melanoma;Nathanson_Melanoma;Roh_Melanoma						
Riaz_Melanoma	Melanoma	51	14	2	1	68	3	PASS	PASS	PASS	keep						
Roh_Melanoma	Melanoma	18	10	0	2	30	2	FAIL	FAIL	FAIL	merge: Yang_Melanoma;Anagnostou-CRM_Melanoma;Miao-NG_Melanoma;Pleasance_Melanoma;Nathanson_Melanoma;Roh_Melanoma						
Sade-Feldman_Melanoma	Melanoma	2	2	5	6	15	11	PASS	PASS	PASS	keep						
Snyder-2014_Melanoma	Melanoma	19	6	5	1	31	6	PASS	PASS	PASS	keep						
Van Allen_Melanoma	Melanoma	81	12	7	5	105	12	PASS	PASS	PASS	keep						
Yang_Melanoma	Melanoma	1	7	1	0	9	1	FAIL	FAIL	FAIL	merge: Yang_Melanoma;Anagnostou-CRM_Melanoma;Miao-NG_Melanoma;Pleasance_Melanoma;Nathanson_Melanoma;Roh_Melanoma						
Yang_Merkle	Merkle	3	1	0	1	5	1	FAIL	FAIL	FAIL	drop						
Pleasance_Ovary	Ovary	1	0	0	0	1	0	FAIL	FAIL	FAIL	drop						
Yang_Ovary	Ovary	14	0	1	0	15	1	FAIL	FAIL	FAIL	drop						
Pleasance_Pancreas	Pancreas	2	0	0	0	2	0	FAIL	FAIL	FAIL	drop						
Yang_Penis	Penis	1	0	0	0	1	0	FAIL	FAIL	FAIL	drop						
Braun_RCC	RCC	180	55	9	1	245	10	PASS	PASS	PASS	merge: Braun_RCC;McDermott_RCC;Miao-Science_RCC;Pleasance_RCC						
McDermott_RCC	RCC	35	11	1	0	47	1	FAIL	FAIL	FAIL	merge: Braun_RCC;McDermott_RCC;Miao-Science_RCC;Pleasance_RCC						
Miao-Science_RCC	RCC	27	7	1	0	35	1	FAIL	FAIL	FAIL	merge: Braun_RCC;McDermott_RCC;Miao-Science_RCC;Pleasance_RCC						
Pleasance_RCC	RCC	1	1	0	0	2	0	FAIL	FAIL	FAIL	merge: Braun_RCC;McDermott_RCC;Miao-Science_RCC;Pleasance_RCC						
Miao-NG_Sarcoma	Sarcoma	0	1	0	0	1	0	FAIL	FAIL	FAIL	drop						
Pleasance_Sarcoma	Sarcoma	6	0	0	0	6	0	FAIL	FAIL	FAIL	drop						
Yang_Sarcoma	Sarcoma	5	0	0	0	5	0	FAIL	FAIL	FAIL	drop						
Pleasance_SECR	SECR	3	0	0	0	3	0	FAIL	FAIL	FAIL	drop						
Pleasance_THYM	THYM	0	1	0	0	1	0	FAIL	FAIL	FAIL	drop						
Pleasance_UVM	UVM	2	0	0	0	2	0	FAIL	FAIL	FAIL	drop						
